SUD_CD,COAR_CD
1129001787 ,1108060010017 
1129001788 ,1108060010301 
1129001789 ,1108060010301 
1129001791 ,1108060010003 
1129001767 ,1108060010022 
1129001768 ,1108060010017 
1129001769 ,1108060010022 
1129001770 ,1108060010017 
1129001793 ,1108060010026 
1129001814 ,1108060010026 
1129001772 ,1108060010022 
1129001774 ,1108060010201 
1129001775 ,1108060010017 
1129001776 ,1108060010201 
1129001777 ,1108060010201 
1129001761 ,1108060010022 
1129001780 ,1108060010017 
1129001781 ,1108060010301 
1129001782 ,1108060010017 
1129001796 ,1108060010026 
1129001797 ,1108060010003 
1129001799 ,1108060010003 
1123000790 ,1106081020005 
1123000704 ,1106081030003 
1123000709 ,1106081030005 
1123000711 ,1106081030010 
1123000761 ,1106081020005 
1123000716 ,1106081030008 
1123000717 ,1106081030010 
1123000762 ,1106081020003 
1123000763 ,1106081020003 
1123000739 ,1106081030010 
1123000776 ,1106081020005 
1123000749 ,1106081030008 
1123000751 ,1106081020008 
1123000753 ,1106081020003 
1123001908 ,1106083010007 
1123001987 ,1106083010010 
1123001989 ,1106083010033 
1123001990 ,1106083010030 
1123001991 ,1106083010033 
1123001995 ,1106083010032 
1123001996 ,1106083010010 
1123002031 ,1106083010023 
1123002036 ,1106083010028 
1123001997 ,1106083010006 
1123001999 ,1106083010037 
1123001910 ,1106083010007 
1123001914 ,1106083010101 
1123001957 ,1106083010033 
1123001958 ,1106083010031 
1123001959 ,1106083010027 
1123001960 ,1106083010018 
1123001961 ,1106083010202 
1123001962 ,1106083010033 
1123001963 ,1106083010030 
1123001964 ,1106083010022 
1123002000 ,1106083010032 
1123002001 ,1106083010017 
1123002002 ,1106083010006 
1123002003 ,1106083010006 
1123002005 ,1106083010017 
1123002006 ,1106083010037 
1123001917 ,1106083010401 
1123001966 ,1106083010033 
1123001967 ,1106083010031 
1123001968 ,1106083010027 
1123002009 ,1106083010006 
1123001921 ,1106083010401 
1123001922 ,1106083010005 
1123001923 ,1106083010107 
1123001972 ,1106083010027 
1123001973 ,1106083010010 
